created_date_time,content
1529674672697,"{""status"":{""mode"":""auto"",""source"":""cloud"",""occupant_id"":6696,""hold_until"":""2018-06-22T17:37:52.682Z""}}"
1529674672775,"{""status"":{""heating_setpoint"":74,""source"":""cloud"",""occupant_id"":6696,""hold_until"":""2018-06-22T17:37:52.768Z""}}"
1529674672828,"{""status"":{""cooling_setpoint"":77,""source"":""cloud"",""occupant_id"":6696,""hold_until"":""2018-06-22T17:37:52.822Z""}}"
1529676031721,"{""status"":{""room_temp"":74}}"
1529676031773,"{""status"":{""operating_state"":""Off""}}"
1529679634163,"{""status"":{""room_temp"":74}}"
1529679634215,"{""status"":{""operating_state"":""Off""}}"
1529683236219,"{""status"":{""room_temp"":75}}"
1529683236278,"{""status"":{""operating_state"":""Off""}}"
1529686838238,"{""status"":{""room_temp"":76}}"
1529686838292,"{""status"":{""operating_state"":""Off""}}"
1529694282104,"{""status"":{""room_temp"":78}}"
1529694282155,"{""status"":{""operating_state"":""Cooling""}}"
1529697883988,"{""status"":{""room_temp"":78}}"
1529697884038,"{""status"":{""operating_state"":""Cooling""}}"
1529701486028,"{""status"":{""room_temp"":78}}"
1529701486095,"{""status"":{""operating_state"":""Cooling""}}"
1529702430547,"{""status"":{""room_temp"":78}}"
1529702432610,"{""status"":{""operating_state"":""Cooling""}}"
1529702433132,"{""status"":{""battery"":100}}"
1529704875116,"{""status"":{""room_temp"":78}}"
1529704875166,"{""status"":{""operating_state"":""Cooling""}}"
1529708476950,"{""status"":{""room_temp"":78}}"
1529708477011,"{""status"":{""operating_state"":""Cooling""}}"
1529712079355,"{""status"":{""room_temp"":78}}"
1529712079427,"{""status"":{""operating_state"":""Cooling""}}"
1529715681179,"{""status"":{""room_temp"":77}}"
1529715681287,"{""status"":{""operating_state"":""Pending_Cool""}}"
1529719283003,"{""status"":{""room_temp"":77}}"
1529719283062,"{""status"":{""operating_state"":""Off""}}"
1529722885071,"{""status"":{""room_temp"":77}}"
1529722885135,"{""status"":{""operating_state"":""Off""}}"
1529726486799,"{""status"":{""room_temp"":77}}"
1529726486844,"{""status"":{""operating_state"":""Off""}}"
1529730088686,"{""status"":{""room_temp"":77}}"
1529730088752,"{""status"":{""operating_state"":""Off""}}"
1529733600960,"{""status"":{""battery"":100}}"
1529733691051,"{""status"":{""room_temp"":78}}"
1529733691098,"{""status"":{""operating_state"":""Cooling""}}"
1529737293203,"{""status"":{""room_temp"":77}}"
1529737293253,"{""status"":{""operating_state"":""Off""}}"
1529740895373,"{""status"":{""room_temp"":77}}"
1529740895440,"{""status"":{""operating_state"":""Off""}}"
1529744497487,"{""status"":{""room_temp"":77}}"
1529744497552,"{""status"":{""operating_state"":""Off""}}"
1529748099184,"{""status"":{""room_temp"":77}}"
1529748099232,"{""status"":{""operating_state"":""Off""}}"
1529751701135,"{""status"":{""room_temp"":77}}"
1529751701182,"{""status"":{""operating_state"":""Off""}}"
1529755303109,"{""status"":{""room_temp"":77}}"
