created_date_time,content
1515783761158,"{""status"":{""room_temp"":69}}"
1515787435714,"{""status"":{""room_temp"":69}}"
1515787435759,"{""status"":{""operating_state"":""Fan_Only""}}"
1515789145679,"{""status"":{""heating_setpoint"":67,""source"":""physical"",""hold_until"":""2018-01-13T00:32:25.672Z""}}"
1515789334449,"{""status"":{""fan"":""auto"",""source"":""physical"",""hold_until"":""2018-01-13T00:35:34.443Z""}}"
1515790594843,"{""status"":{""battery"":100}}"
1515791037687,"{""status"":{""room_temp"":69}}"
1515791037737,"{""status"":{""operating_state"":""Off""}}"
1515794639647,"{""status"":{""room_temp"":69}}"
1515794639740,"{""status"":{""operating_state"":""Off""}}"
1515798241746,"{""status"":{""room_temp"":69}}"
1515798241858,"{""status"":{""operating_state"":""Off""}}"
1515801846588,"{""status"":{""operating_state"":""Off""}}"
1515802143819,"{""status"":{""room_temp"":69}}"
1515802143940,"{""status"":{""operating_state"":""Off""}}"
1515805445625,"{""status"":{""room_temp"":69}}"
1515805445671,"{""status"":{""operating_state"":""Off""}}"
1515809347985,"{""status"":{""room_temp"":69}}"
1515809348251,"{""status"":{""operating_state"":""Off""}}"
1515812649993,"{""status"":{""room_temp"":69}}"
1515812650190,"{""status"":{""operating_state"":""Off""}}"
1515816251574,"{""status"":{""room_temp"":69}}"
1515816251693,"{""status"":{""operating_state"":""Off""}}"
1515819853433,"{""status"":{""room_temp"":69}}"
1515819853483,"{""status"":{""operating_state"":""Off""}}"
1515823215304,"{""status"":{""battery"":100}}"
1515823455521,"{""status"":{""room_temp"":69}}"
1515823455566,"{""status"":{""operating_state"":""Off""}}"
1515827057470,"{""status"":{""room_temp"":69}}"
1515827057534,"{""status"":{""operating_state"":""Off""}}"
1515830578849,"{""status"":{""room_temp"":68}}"
1515834261908,"{""status"":{""room_temp"":68}}"
1515834261957,"{""status"":{""operating_state"":""Off""}}"
1515837863720,"{""status"":{""room_temp"":68}}"
1515837863770,"{""status"":{""operating_state"":""Off""}}"
1515841465808,"{""status"":{""room_temp"":68}}"
1515841465853,"{""status"":{""operating_state"":""Off""}}"
1515845067654,"{""status"":{""room_temp"":68}}"
1515845067700,"{""status"":{""operating_state"":""Off""}}"
1515848669635,"{""status"":{""room_temp"":68}}"
1515848669680,"{""status"":{""operating_state"":""Off""}}"
1515852271755,"{""status"":{""room_temp"":68}}"
1515852271869,"{""status"":{""operating_state"":""Off""}}"
1515855873736,"{""status"":{""room_temp"":68}}"
1515855875245,"{""status"":{""operating_state"":""Off""}}"
1515859475572,"{""status"":{""room_temp"":68}}"
1515859475622,"{""status"":{""operating_state"":""Off""}}"
1515863377758,"{""status"":{""zwave_signal"":0}}"
1515863380848,"{""status"":{""zwave_signal"":null}}"
1515863380882,"{""status"":{""operating_state"":""Off""}}"
1515863677817,"{""status"":{""room_temp"":68}}"
1515866679625,"{""status"":{""zwave_signal"":0}}"
1515867580146,"{""status"":{""zwave_signal"":null}}"
1515867580384,"{""status"":{""battery"":100}}"
1515867580715,"{""status"":{""battery"":100}}"
1515867880131,"{""status"":{""deviceDownTS"":null}}"
1515867883364,"{""status"":{""operating_state"":""Off""}}"
1515868480730,"{""status"":{""room_temp"":68}}"
1515868481161,"{""status"":{""operating_state"":""Off""}}"
1515870582010,"{""status"":{""room_temp"":68}}"
1515873886702,"{""status"":{""zwave_signal"":0}}"
1515874483986,"{""status"":{""zwave_signal"":null}}"
1515874784069,"{""status"":{""deviceDownTS"":null}}"
1515875084361,"{""status"":{""zwave_signal"":0}}"
1515884882375,"{""status"":{""zwave_signal"":null}}"
1515884883383,"{""status"":{""cooling_setpoint"":70,""source"":""physical"",""hold_until"":""2018-01-14T03:08:03.371Z""}}"
1515884888925,"{""status"":{""heating_setpoint"":70,""source"":""physical"",""hold_until"":""2018-01-14T03:08:08.919Z""}}"
1515884889922,"{""status"":{""cooling_setpoint"":73,""source"":""physical"",""hold_until"":""2018-01-14T03:08:09.916Z""}}"
1515884989131,"{""status"":{""deviceDownTS"":null}}"
1515885289503,"{""status"":{""zwave_signal"":0}}"
1515885292492,"{""status"":{""zwave_signal"":null}}"
1515885889864,"{""status"":{""zwave_signal"":0}}"
1515894790445,"{""status"":{""zwave_signal"":null}}"
1515894790484,"{""status"":{""heating_setpoint"":69,""source"":""physical"",""hold_until"":""2018-01-14T05:53:10.478Z""}}"
1515894791192,"{""status"":{""cooling_setpoint"":72,""source"":""physical"",""hold_until"":""2018-01-14T05:53:11.186Z""}}"
1515894894289,"{""status"":{""deviceDownTS"":null}}"
1515895194578,"{""status"":{""zwave_signal"":0}}"
1515896995984,"{""status"":{""zwave_signal"":null}}"
1515896996014,"{""status"":{""battery"":100}}"
1515896996131,"{""status"":{""battery"":100}}"
1515897295608,"{""status"":{""deviceDownTS"":null}}"
1515897298837,"{""status"":{""operating_state"":""Off""}}"
1515897899089,"{""status"":{""operating_state"":""Heating""}}"
1515898199431,"{""status"":{""zwave_signal"":0}}"
1515899096717,"{""status"":{""zwave_signal"":null}}"
1515899396840,"{""status"":{""deviceDownTS"":null}}"
1515899697159,"{""status"":{""zwave_signal"":0}}"
1515907696554,"{""status"":{""zwave_signal"":null}}"
1515907696591,"{""status"":{""room_temp"":69}}"
1515907801493,"{""status"":{""deviceDownTS"":null}}"
1515908455018,"{""status"":{""room_temp"":70}}"
1515909397229,"{""status"":{""room_temp"":69}}"
1515909602480,"{""status"":{""room_temp"":69}}"
1515909602528,"{""status"":{""operating_state"":""Heating""}}"
1515910064715,"{""status"":{""room_temp"":70}}"
1515911007084,"{""status"":{""room_temp"":69}}"
1515911689731,"{""status"":{""room_temp"":70}}"
1515912631943,"{""status"":{""room_temp"":69}}"
1515913204565,"{""status"":{""room_temp"":69}}"
1515913204614,"{""status"":{""operating_state"":""Heating""}}"
1515913405681,"{""status"":{""room_temp"":70}}"
1515914378349,"{""status"":{""room_temp"":69}}"
1515915061030,"{""status"":{""room_temp"":70}}"
1515916063957,"{""status"":{""room_temp"":69}}"
1515916806722,"{""status"":{""room_temp"":69}}"
1515916806765,"{""status"":{""operating_state"":""Heating""}}"
1515916868001,"{""status"":{""room_temp"":70}}"
1515917780015,"{""status"":{""room_temp"":69}}"
1515918493003,"{""status"":{""room_temp"":70}}"
1515919283325,"{""status"":{""room_temp"":69}}"
1515920239058,"{""status"":{""room_temp"":70}}"
1515920408610,"{""status"":{""room_temp"":70}}"
1515920408822,"{""status"":{""operating_state"":""Pending_Heat""}}"
1515921090129,"{""status"":{""room_temp"":69}}"
1515921878975,"{""status"":{""room_temp"":70}}"
1515922806112,"{""status"":{""room_temp"":69}}"
1515923549388,"{""status"":{""room_temp"":70}}"
1515924010544,"{""status"":{""room_temp"":70}}"
1515924010598,"{""status"":{""operating_state"":""Off""}}"
1515924370151,"{""status"":{""room_temp"":69}}"
1515925159007,"{""status"":{""room_temp"":70}}"
1515925979553,"{""status"":{""room_temp"":69}}"
1515926904921,"{""status"":{""room_temp"":70}}"
1515927612619,"{""status"":{""room_temp"":70}}"
1515927612671,"{""status"":{""operating_state"":""Off""}}"
1515927649703,"{""status"":{""room_temp"":69}}"
1515928514451,"{""status"":{""room_temp"":70}}"
1515929320106,"{""status"":{""room_temp"":69}}"
1515930124170,"{""status"":{""room_temp"":70}}"
