created_date_time,content
1538501359552,"{""status"":{""zwave_signal"":null}}"
1538501359588,"{""status"":{""battery"":100}}"
1538501360577,"{""status"":{""room_temp"":65}}"
1538501392677,"{""status"":{""room_temp"":66}}"
1538501512184,"{""status"":{""deviceDownTS"":null}}"
1538501582137,"{""status"":{""room_temp"":65}}"
1538501909668,"{""status"":{""room_temp"":64}}"
1538502482692,"{""status"":{""room_temp"":63}}"
1538502902231,"{""status"":{""operating_state"":""Pending_Heat""}}"
1538503202225,"{""status"":{""operating_state"":""Off""}}"
1538503324345,"{""status"":{""room_temp"":63}}"
1538503324454,"{""status"":{""operating_state"":""Off""}}"
1538503949607,"{""status"":{""room_temp"":62}}"
1538506926824,"{""status"":{""room_temp"":62}}"
1538506926933,"{""status"":{""operating_state"":""Off""}}"
1538510529280,"{""status"":{""room_temp"":62}}"
1538510529369,"{""status"":{""operating_state"":""Off""}}"
1538514132321,"{""status"":{""room_temp"":62}}"
1538514132406,"{""status"":{""operating_state"":""Off""}}"
1538517734622,"{""status"":{""room_temp"":62}}"
1538517734703,"{""status"":{""operating_state"":""Off""}}"
1538521336768,"{""status"":{""room_temp"":62}}"
1538521336875,"{""status"":{""operating_state"":""Off""}}"
1538524939169,"{""status"":{""room_temp"":62}}"
1538524939258,"{""status"":{""operating_state"":""Off""}}"
1538528541108,"{""status"":{""room_temp"":62}}"
1538528541203,"{""status"":{""operating_state"":""Off""}}"
1538532143197,"{""status"":{""room_temp"":62}}"
1538532143305,"{""status"":{""operating_state"":""Off""}}"
1538535745378,"{""status"":{""room_temp"":62}}"
1538535745631,"{""status"":{""operating_state"":""Off""}}"
1538539347505,"{""status"":{""room_temp"":62}}"
1538539347595,"{""status"":{""operating_state"":""Off""}}"
1538542949420,"{""status"":{""room_temp"":62}}"
1538542949510,"{""status"":{""operating_state"":""Off""}}"
1538546551382,"{""status"":{""room_temp"":62}}"
1538546551472,"{""status"":{""operating_state"":""Off""}}"
1538550014626,"{""status"":{""battery"":100}}"
1538550097949,"{""status"":{""room_temp"":62}}"
1538550098056,"{""status"":{""operating_state"":""Off""}}"
1538553678604,"{""status"":{""room_temp"":62}}"
1538553678699,"{""status"":{""operating_state"":""Off""}}"
1538557280763,"{""status"":{""room_temp"":62}}"
1538557280853,"{""status"":{""operating_state"":""Off""}}"
1538560883200,"{""status"":{""room_temp"":62}}"
1538560883290,"{""status"":{""operating_state"":""Off""}}"
1538563049115,"{""status"":{""room_temp"":61}}"
1538564485061,"{""status"":{""room_temp"":61}}"
1538564485168,"{""status"":{""operating_state"":""Off""}}"
1538568087041,"{""status"":{""room_temp"":61}}"
1538568087141,"{""status"":{""operating_state"":""Off""}}"
1538571689144,"{""status"":{""room_temp"":61}}"
1538571689235,"{""status"":{""operating_state"":""Off""}}"
1538575291624,"{""status"":{""room_temp"":61}}"
1538575291714,"{""status"":{""operating_state"":""Off""}}"
1538578893748,"{""status"":{""room_temp"":61}}"
1538578893838,"{""status"":{""operating_state"":""Off""}}"
1538582495696,"{""status"":{""room_temp"":61}}"
