created_date_time,content
1523475784898,"{""status"":{""zwave_signal"":null}}"
1523475784917,"{""status"":{""battery"":100}}"
1523475785931,"{""status"":{""room_temp"":65}}"
1523475798942,"{""status"":{""mode"":""cool"",""source"":""physical"",""hold_until"":""2018-04-11T23:43:18.926Z""}}"
1523475918653,"{""status"":{""deviceDownTS"":null}}"
1523475974735,"{""status"":{""battery"":100}}"
1523476005876,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:46:45.870Z""}}"
1523476006127,"{""status"":{""cooling_setpoint"":80,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:46:46.122Z""}}"
1523476006291,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:46:46.285Z""}}"
1523476009294,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:46:49.289Z""}}"
1523476010295,"{""status"":{""operating_state"":""Heating""}}"
1523476080100,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:48:00.095Z""}}"
1523476080236,"{""status"":{""heating_setpoint"":72,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:48:00.231Z""}}"
1523476080345,"{""status"":{""cooling_setpoint"":80,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:48:00.340Z""}}"
1523476080462,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:48:00.457Z""}}"
1523476083479,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-04-11T23:48:03.474Z""}}"
1523476084563,"{""status"":{""operating_state"":""Pending_Heat""}}"
1523476379989,"{""status"":{""operating_state"":""Off""}}"
1523476554013,"{""status"":{""room_temp"":65}}"
1523476819271,"{""status"":{""room_temp"":65}}"
1523476819323,"{""status"":{""operating_state"":""Off""}}"
1523477932150,"{""status"":{""room_temp"":64}}"
1523480421970,"{""status"":{""room_temp"":64}}"
1523480422033,"{""status"":{""operating_state"":""Off""}}"
1523484024100,"{""status"":{""room_temp"":64}}"
1523484024182,"{""status"":{""operating_state"":""Off""}}"
1523487626702,"{""status"":{""room_temp"":64}}"
1523487626755,"{""status"":{""operating_state"":""Off""}}"
1523491228853,"{""status"":{""room_temp"":64}}"
1523491228929,"{""status"":{""operating_state"":""Off""}}"
1523493415600,"{""status"":{""room_temp"":63}}"
1523494830685,"{""status"":{""room_temp"":63}}"
1523494830737,"{""status"":{""operating_state"":""Off""}}"
1523498432773,"{""status"":{""room_temp"":63}}"
1523498432829,"{""status"":{""operating_state"":""Off""}}"
1523499625744,"{""status"":{""room_temp"":62}}"
1523502035150,"{""status"":{""room_temp"":191}}"
1523502036811,"{""status"":{""operating_state"":""Off""}}"
1523502039823,"{""status"":{""cooling_setpoint"":86,""source"":""physical"",""hold_until"":""2018-04-12T07:00:39.818Z""}}"
1523502040910,"{""status"":{""mode"":""cool"",""source"":""physical"",""hold_until"":""2018-04-12T07:00:40.904Z""}}"
1523505274489,"{""status"":{""room_temp"":61}}"
1523505637108,"{""status"":{""room_temp"":61}}"
1523505637164,"{""status"":{""operating_state"":""Off""}}"
1523509239135,"{""status"":{""room_temp"":61}}"
1523509239193,"{""status"":{""operating_state"":""Off""}}"
1523512196263,"{""status"":{""room_temp"":60}}"
1523512841400,"{""status"":{""room_temp"":60}}"
1523512841480,"{""status"":{""operating_state"":""Off""}}"
1523516443734,"{""status"":{""room_temp"":60}}"
1523516443787,"{""status"":{""operating_state"":""Off""}}"
1523519215602,"{""status"":{""room_temp"":59}}"
1523520046349,"{""status"":{""room_temp"":59}}"
1523520046405,"{""status"":{""operating_state"":""Off""}}"
1523523648781,"{""status"":{""room_temp"":59}}"
1523523648845,"{""status"":{""operating_state"":""Off""}}"
1523527251230,"{""status"":{""room_temp"":59}}"
1523527251298,"{""status"":{""operating_state"":""Off""}}"
1523528523215,"{""status"":{""room_temp"":58}}"
1523530853587,"{""status"":{""room_temp"":58}}"
1523530853637,"{""status"":{""operating_state"":""Off""}}"
1523534456074,"{""status"":{""room_temp"":58}}"
1523534456128,"{""status"":{""operating_state"":""Off""}}"
1523538058386,"{""status"":{""room_temp"":58}}"
1523538058441,"{""status"":{""operating_state"":""Off""}}"
1523540208402,"{""status"":{""room_temp"":59}}"
1523541660545,"{""status"":{""room_temp"":59}}"
1523541660606,"{""status"":{""operating_state"":""Off""}}"
1523542985595,"{""status"":{""room_temp"":60}}"
1523545262507,"{""status"":{""room_temp"":60}}"
1523545262558,"{""status"":{""operating_state"":""Off""}}"
1523546562040,"{""status"":{""room_temp"":61}}"
1523548864609,"{""status"":{""room_temp"":61}}"
1523548864673,"{""status"":{""operating_state"":""Off""}}"
1523549931520,"{""status"":{""room_temp"":62}}"
1523552466783,"{""status"":{""room_temp"":62}}"
1523552466836,"{""status"":{""operating_state"":""Off""}}"
1523552663564,"{""status"":{""room_temp"":63}}"
1523556068900,"{""status"":{""room_temp"":63}}"
1523556068951,"{""status"":{""operating_state"":""Off""}}"
1523556245754,"{""status"":{""room_temp"":64}}"
1523559671445,"{""status"":{""room_temp"":64}}"
1523559671505,"{""status"":{""operating_state"":""Off""}}"
1523560222389,"{""status"":{""room_temp"":65}}"
1523562176468,"{""status"":{""battery"":100}}"
1523563273631,"{""status"":{""room_temp"":65}}"
1523563273685,"{""status"":{""operating_state"":""Off""}}"
1523564305437,"{""status"":{""room_temp"":66}}"
1523564810098,"{""status"":{""cooling_setpoint"":85,""source"":""physical"",""hold_until"":""2018-04-13T00:26:50.093Z""}}"
1523564822059,"{""status"":{""heating_setpoint"":55,""source"":""physical"",""hold_until"":""2018-04-13T00:27:02.051Z""}}"
1523566876148,"{""status"":{""room_temp"":66}}"
1523566876200,"{""status"":{""operating_state"":""Off""}}"
1523567345828,"{""status"":{""room_temp"":67}}"
1523570478257,"{""status"":{""room_temp"":67}}"
1523570478318,"{""status"":{""operating_state"":""Off""}}"
1523570911404,"{""status"":{""room_temp"":68}}"
1523574080425,"{""status"":{""room_temp"":68}}"
1523574080479,"{""status"":{""operating_state"":""Off""}}"
1523577682492,"{""status"":{""room_temp"":68}}"
1523577682566,"{""status"":{""operating_state"":""Off""}}"
1523581284630,"{""status"":{""room_temp"":68}}"
1523581284686,"{""status"":{""operating_state"":""Off""}}"
1523581894606,"{""status"":{""room_temp"":67}}"
1523584886736,"{""status"":{""room_temp"":67}}"
1523584886788,"{""status"":{""operating_state"":""Off""}}"
1523588489023,"{""status"":{""room_temp"":67}}"
1523588489092,"{""status"":{""operating_state"":""Off""}}"
1523592091012,"{""status"":{""room_temp"":67}}"
1523592091078,"{""status"":{""operating_state"":""Off""}}"
1523592492602,"{""status"":{""room_temp"":66}}"
1523595603514,"{""status"":{""battery"":100}}"
1523595693707,"{""status"":{""room_temp"":66}}"
1523595693760,"{""status"":{""operating_state"":""Off""}}"
1523599295853,"{""status"":{""room_temp"":66}}"
1523599295922,"{""status"":{""operating_state"":""Off""}}"
1523602898153,"{""status"":{""room_temp"":66}}"
1523602898204,"{""status"":{""operating_state"":""Off""}}"
1523603724515,"{""status"":{""room_temp"":65}}"
1523606500277,"{""status"":{""room_temp"":65}}"
1523606500333,"{""status"":{""operating_state"":""Off""}}"
1523610102738,"{""status"":{""room_temp"":65}}"
1523610102792,"{""status"":{""operating_state"":""Off""}}"
1523613704876,"{""status"":{""room_temp"":65}}"
1523613704989,"{""status"":{""operating_state"":""Off""}}"
1523617306912,"{""status"":{""room_temp"":65}}"
1523617306996,"{""status"":{""operating_state"":""Off""}}"
1523617430792,"{""status"":{""room_temp"":64}}"
1523620909642,"{""status"":{""room_temp"":64}}"
1523620909698,"{""status"":{""operating_state"":""Off""}}"
1523621715943,"{""status"":{""room_temp"":65}}"
1523624511765,"{""status"":{""room_temp"":65}}"
1523624511824,"{""status"":{""operating_state"":""Off""}}"
1523624938465,"{""status"":{""room_temp"":66}}"
1523628065079,"{""status"":{""room_temp"":67}}"
1523631327155,"{""status"":{""room_temp"":68}}"
1523631716140,"{""status"":{""room_temp"":68}}"
1523631716314,"{""status"":{""operating_state"":""Off""}}"
1523634552748,"{""status"":{""room_temp"":69}}"
1523635318340,"{""status"":{""room_temp"":69}}"
1523635318392,"{""status"":{""operating_state"":""Off""}}"
1523637526259,"{""status"":{""room_temp"":70}}"
1523638920474,"{""status"":{""room_temp"":70}}"
1523638920525,"{""status"":{""operating_state"":""Off""}}"
1523640610554,"{""status"":{""room_temp"":71}}"
1523642522461,"{""status"":{""room_temp"":71}}"
1523642522514,"{""status"":{""operating_state"":""Off""}}"
1523644594519,"{""status"":{""room_temp"":72}}"
1523646124394,"{""status"":{""room_temp"":72}}"
1523646124452,"{""status"":{""operating_state"":""Off""}}"
1523648574307,"{""status"":{""battery"":100}}"
1523648780903,"{""status"":{""room_temp"":73}}"
1523649726524,"{""status"":{""room_temp"":73}}"
1523649726575,"{""status"":{""operating_state"":""Off""}}"
1523653316253,"{""status"":{""room_temp"":74}}"
1523656930946,"{""status"":{""room_temp"":74}}"
1523656931001,"{""status"":{""operating_state"":""Off""}}"
1523657381233,"{""status"":{""room_temp"":75}}"
1523660532881,"{""status"":{""room_temp"":75}}"
1523660532932,"{""status"":{""operating_state"":""Off""}}"
1523664135180,"{""status"":{""room_temp"":75}}"
1523664135231,"{""status"":{""operating_state"":""Off""}}"
1523667737181,"{""status"":{""room_temp"":75}}"
1523667737265,"{""status"":{""operating_state"":""Off""}}"
1523668515057,"{""status"":{""room_temp"":74}}"
1523671339327,"{""status"":{""room_temp"":74}}"
1523671339381,"{""status"":{""operating_state"":""Off""}}"
1523674941345,"{""status"":{""room_temp"":74}}"
1523674941430,"{""status"":{""operating_state"":""Off""}}"
1523676357031,"{""status"":{""room_temp"":73}}"
1523678543279,"{""status"":{""room_temp"":73}}"
1523678543331,"{""status"":{""operating_state"":""Off""}}"
1523682145478,"{""status"":{""room_temp"":73}}"
1523682145536,"{""status"":{""operating_state"":""Off""}}"
1523685265544,"{""status"":{""room_temp"":72}}"
1523685747638,"{""status"":{""room_temp"":72}}"
1523685747699,"{""status"":{""operating_state"":""Off""}}"
1523689349778,"{""status"":{""room_temp"":72}}"
1523689349841,"{""status"":{""operating_state"":""Off""}}"
1523692951955,"{""status"":{""room_temp"":72}}"
1523692952011,"{""status"":{""operating_state"":""Off""}}"
1523694275811,"{""status"":{""room_temp"":71}}"
1523696554204,"{""status"":{""room_temp"":71}}"
1523696554256,"{""status"":{""operating_state"":""Off""}}"
1523700156272,"{""status"":{""room_temp"":71}}"
1523700156335,"{""status"":{""operating_state"":""Off""}}"
1523703758265,"{""status"":{""room_temp"":71}}"
1523703758321,"{""status"":{""operating_state"":""Off""}}"
1523707360360,"{""status"":{""room_temp"":71}}"
1523707360414,"{""status"":{""operating_state"":""Off""}}"
1523710557739,"{""status"":{""room_temp"":72}}"
1523710962626,"{""status"":{""room_temp"":72}}"
1523710962676,"{""status"":{""operating_state"":""Off""}}"
1523713727834,"{""status"":{""room_temp"":73}}"
1523714565163,"{""status"":{""room_temp"":73}}"
1523714565318,"{""status"":{""operating_state"":""Off""}}"
1523717216378,"{""status"":{""room_temp"":74}}"
1523718167518,"{""status"":{""room_temp"":74}}"
1523718167573,"{""status"":{""operating_state"":""Off""}}"
1523721770066,"{""status"":{""room_temp"":74}}"
1523721770120,"{""status"":{""operating_state"":""Off""}}"
1523721888348,"{""status"":{""room_temp"":75}}"
1523725372189,"{""status"":{""room_temp"":75}}"
1523725372271,"{""status"":{""operating_state"":""Off""}}"
1523725877723,"{""status"":{""room_temp"":76}}"
1523728974135,"{""status"":{""room_temp"":76}}"
1523728974189,"{""status"":{""operating_state"":""Off""}}"
1523730291698,"{""status"":{""room_temp"":77}}"
1523732576148,"{""status"":{""room_temp"":77}}"
1523732576199,"{""status"":{""operating_state"":""Off""}}"
1523734705311,"{""status"":{""room_temp"":78}}"
1523734972286,"{""status"":{""battery"":100}}"
1523736178353,"{""status"":{""room_temp"":78}}"
1523736178408,"{""status"":{""operating_state"":""Off""}}"
1523738860678,"{""status"":{""room_temp"":79}}"
1523739780676,"{""status"":{""room_temp"":79}}"
1523739780729,"{""status"":{""operating_state"":""Off""}}"
1523743383027,"{""status"":{""room_temp"":79}}"
1523743383082,"{""status"":{""operating_state"":""Off""}}"
1523746985033,"{""status"":{""room_temp"":79}}"
1523746985098,"{""status"":{""operating_state"":""Off""}}"
1523750587127,"{""status"":{""room_temp"":79}}"
1523750587197,"{""status"":{""operating_state"":""Off""}}"
1523754189381,"{""status"":{""room_temp"":79}}"
1523754189433,"{""status"":{""operating_state"":""Off""}}"
1523757630554,"{""status"":{""room_temp"":78}}"
1523761393474,"{""status"":{""room_temp"":78}}"
1523761393526,"{""status"":{""operating_state"":""Off""}}"
1523764995706,"{""status"":{""room_temp"":78}}"
1523764995764,"{""status"":{""operating_state"":""Off""}}"
1523766441922,"{""status"":{""room_temp"":77}}"
1523768597835,"{""status"":{""room_temp"":77}}"
1523768597925,"{""status"":{""operating_state"":""Off""}}"
1523772200063,"{""status"":{""room_temp"":77}}"
1523772200117,"{""status"":{""operating_state"":""Off""}}"
1523774754128,"{""status"":{""room_temp"":76}}"
1523775802156,"{""status"":{""room_temp"":76}}"
1523775802206,"{""status"":{""operating_state"":""Off""}}"
1523779404519,"{""status"":{""room_temp"":76}}"
1523779404577,"{""status"":{""operating_state"":""Off""}}"
1523783007562,"{""status"":{""room_temp"":76}}"
1523783007619,"{""status"":{""operating_state"":""Off""}}"
1523783324328,"{""status"":{""room_temp"":75}}"
1523786609000,"{""status"":{""room_temp"":75}}"
1523786609054,"{""status"":{""operating_state"":""Off""}}"
1523790211165,"{""status"":{""room_temp"":75}}"
1523790211243,"{""status"":{""operating_state"":""Off""}}"
1523791803481,"{""status"":{""room_temp"":74}}"
1523793813523,"{""status"":{""room_temp"":74}}"
1523793813577,"{""status"":{""operating_state"":""Off""}}"
1523795823157,"{""status"":{""room_temp"":75}}"
1523797416124,"{""status"":{""room_temp"":75}}"
1523797416277,"{""status"":{""operating_state"":""Off""}}"
1523800646775,"{""status"":{""room_temp"":76}}"
1523801018407,"{""status"":{""room_temp"":76}}"
1523801018459,"{""status"":{""operating_state"":""Off""}}"
1523804620745,"{""status"":{""room_temp"":76}}"
1523804620809,"{""status"":{""operating_state"":""Off""}}"
1523808222792,"{""status"":{""room_temp"":76}}"
1523808222849,"{""status"":{""operating_state"":""Off""}}"
1523811825484,"{""status"":{""room_temp"":76}}"
1523811825541,"{""status"":{""operating_state"":""Off""}}"
1523815427194,"{""status"":{""room_temp"":76}}"
1523815427244,"{""status"":{""operating_state"":""Off""}}"
1523819029686,"{""status"":{""room_temp"":76}}"
1523819029739,"{""status"":{""operating_state"":""Off""}}"
1523821370171,"{""status"":{""battery"":100}}"
1523822631780,"{""status"":{""room_temp"":76}}"
1523822631832,"{""status"":{""operating_state"":""Off""}}"
1523822914299,"{""status"":{""room_temp"":75}}"
1523826233774,"{""status"":{""room_temp"":75}}"
1523826233824,"{""status"":{""operating_state"":""Off""}}"
1523829835870,"{""status"":{""room_temp"":75}}"
1523829835922,"{""status"":{""operating_state"":""Off""}}"
1523832318808,"{""status"":{""room_temp"":74}}"
