created_date_time,content
1547071626885,"{""status"":{""mode"":""heat"",""source"":""physical"",""hold_until"":""2019-01-10T02:07:06.875Z""}}"
1547071626942,"{""status"":{""heating_setpoint"":72,""source"":""physical"",""hold_until"":""2019-01-10T02:07:06.935Z""}}"
1547071626999,"{""status"":{""cooling_setpoint"":80,""source"":""physical"",""hold_until"":""2019-01-10T02:07:06.995Z""}}"
1547071627102,"{""status"":{""room_temp"":63}}"
1547071627164,"{""status"":{""operating_state"":""Off""}}"
1547071643175,"{""status"":{""battery"":100}}"
1547071710896,"{""status"":{""operating_state"":""Heating""}}"
1547071735928,"{""status"":{""room_temp"":64}}"
1547071742240,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:09:02.234Z""}}"
1547071745259,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:09:05.253Z""}}"
1547071746340,"{""status"":{""operating_state"":""Pending_Heat""}}"
1547071746540,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:09:06.535Z""}}"
1547071749685,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:09:09.681Z""}}"
1547071750764,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:09:10.756Z""}}"
1547071885557,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:11:25.550Z""}}"
1547071888589,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:11:28.582Z""}}"
1547071924495,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:04.487Z""}}"
1547071924629,"{""status"":{""heating_setpoint"":80,""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:04.624Z""}}"
1547071927628,"{""status"":{""heating_setpoint"":80,""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:07.623Z""}}"
1547071928632,"{""status"":{""cooling_setpoint"":83,""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:08.627Z""}}"
1547071929734,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:09.729Z""}}"
1547071957866,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:37.861Z""}}"
1547071957975,"{""status"":{""heating_setpoint"":80,""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:37.970Z""}}"
1547071958239,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:12:38.233Z""}}"
1547072042466,"{""status"":{""operating_state"":""Off""}}"
1547072194550,"{""status"":{""heating_setpoint"":64,""source"":""physical"",""hold_until"":""2019-01-10T02:16:34.541Z""}}"
1547072222745,"{""status"":{""operating_state"":""Pending_Heat""}}"
1547072255992,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:17:35.987Z""}}"
1547072256103,"{""status"":{""heating_setpoint"":64,""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:17:36.097Z""}}"
1547072256215,"{""status"":{""cooling_setpoint"":83,""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:17:36.209Z""}}"
1547072256325,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:17:36.320Z""}}"
1547072399409,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:19:59.403Z""}}"
1547072402455,"{""status"":{""mode"":""cool"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:20:02.449Z""}}"
1547072406309,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:20:06.305Z""}}"
1547072409326,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":8470,""hold_until"":""2019-01-10T02:20:09.317Z""}}"
1547072443385,"{""status"":{""heating_setpoint"":68,""source"":""physical"",""hold_until"":""2019-01-10T02:20:43.381Z""}}"
1547072522779,"{""status"":{""operating_state"":""Off""}}"
1547072893938,"{""status"":{""mode"":""heat"",""source"":""physical"",""hold_until"":""2019-01-10T02:28:13.932Z""}}"
1547072894018,"{""status"":{""heating_setpoint"":68,""source"":""physical"",""hold_until"":""2019-01-10T02:28:14.011Z""}}"
1547072894162,"{""status"":{""cooling_setpoint"":83,""source"":""physical"",""hold_until"":""2019-01-10T02:28:14.155Z""}}"
1547072894212,"{""status"":{""room_temp"":64}}"
1547072894266,"{""status"":{""operating_state"":""Heating""}}"
1547072952470,"{""status"":{""battery"":100}}"
1547072953482,"{""status"":{""room_temp"":64}}"
1547073072937,"{""status"":{""operating_state"":""Heating""}}"
1547073073992,"{""status"":{""heating_setpoint"":67,""source"":""physical"",""hold_until"":""2019-01-10T02:31:13.987Z""}}"
1547073223447,"{""status"":{""mode"":""heat"",""source"":""physical"",""hold_until"":""2019-01-10T02:33:43.444Z""}}"
1547073223503,"{""status"":{""heating_setpoint"":67,""source"":""physical"",""hold_until"":""2019-01-10T02:33:43.497Z""}}"
1547073223558,"{""status"":{""cooling_setpoint"":83,""source"":""physical"",""hold_until"":""2019-01-10T02:33:43.551Z""}}"
1547073223616,"{""status"":{""room_temp"":64}}"
1547074491061,"{""status"":{""room_temp"":65}}"
1547074994418,"{""status"":{""room_temp"":65}}"
1547074994465,"{""status"":{""operating_state"":""Heating""}}"
1547075371289,"{""status"":{""room_temp"":66}}"
1547076342591,"{""status"":{""room_temp"":67}}"
1547076343657,"{""status"":{""operating_state"":""Pending_Heat""}}"
1547076642687,"{""status"":{""operating_state"":""Off""}}"
1547077133846,"{""status"":{""room_temp"":66}}"
1547077134865,"{""status"":{""operating_state"":""Heating""}}"
1547078089989,"{""status"":{""room_temp"":67}}"
1547078091074,"{""status"":{""operating_state"":""Pending_Heat""}}"
1547078389940,"{""status"":{""operating_state"":""Off""}}"
1547078596484,"{""status"":{""room_temp"":67}}"
1547078596538,"{""status"":{""operating_state"":""Off""}}"
1547079123679,"{""status"":{""room_temp"":66}}"
1547079124701,"{""status"":{""operating_state"":""Heating""}}"
1547079988853,"{""status"":{""room_temp"":67}}"
1547079989934,"{""status"":{""operating_state"":""Pending_Heat""}}"
1547080288814,"{""status"":{""operating_state"":""Off""}}"
1547081098549,"{""status"":{""room_temp"":66}}"
1547081099576,"{""status"":{""operating_state"":""Heating""}}"
1547081963815,"{""status"":{""room_temp"":67}}"
