created_date_time,content
1525639079350,"{""status"":{""zwave_signal"":0}}"
1525640722913,"{""status"":{""zwave_signal"":null}}"
1525640722933,"{""status"":{""battery"":100}}"
1525640723942,"{""status"":{""room_temp"":64}}"
1525640738471,"{""status"":{""mode"":""heat"",""source"":""physical"",""hold_until"":""2018-05-07T01:05:38.460Z""}}"
1525640755276,"{""status"":{""mode"":""cool"",""source"":""physical"",""hold_until"":""2018-05-07T01:05:55.269Z""}}"
1525640798458,"{""status"":{""heating_setpoint"":69,""source"":""physical"",""hold_until"":""2018-05-07T01:06:38.452Z""}}"
1525640799466,"{""status"":{""cooling_setpoint"":72,""source"":""physical"",""hold_until"":""2018-05-07T01:06:39.460Z""}}"
1525640817333,"{""status"":{""mode"":""heat"",""source"":""physical"",""hold_until"":""2018-05-07T01:06:57.328Z""}}"
1525640826120,"{""status"":{""heating_setpoint"":70,""source"":""physical"",""hold_until"":""2018-05-07T01:07:06.115Z""}}"
1525640827204,"{""status"":{""cooling_setpoint"":73,""source"":""physical"",""hold_until"":""2018-05-07T01:07:07.195Z""}}"
1525640837196,"{""status"":{""room_temp"":66}}"
1525640843798,"{""status"":{""operating_state"":""Heating""}}"
1525640895838,"{""status"":{""heating_setpoint"":64,""source"":""physical"",""hold_until"":""2018-05-07T01:08:15.833Z""}}"
1525640965875,"{""status"":{""mode"":""off"",""source"":""physical"",""hold_until"":""2018-05-07T01:09:25.865Z""}}"
1525640966961,"{""status"":{""operating_state"":""Pending_Heat""}}"
1525640987614,"{""status"":{""deviceDownTS"":null}}"
1525641026195,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:10:26.189Z""}}"
1525641026308,"{""status"":{""heating_setpoint"":64,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:10:26.302Z""}}"
1525641026416,"{""status"":{""cooling_setpoint"":73,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:10:26.411Z""}}"
1525641029595,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:10:29.576Z""}}"
1525641066121,"{""status"":{""room_temp"":65}}"
1525641107884,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:11:47.878Z""}}"
1525641107993,"{""status"":{""heating_setpoint"":64,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:11:47.987Z""}}"
1525641108253,"{""status"":{""cooling_setpoint"":73,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:11:48.246Z""}}"
1525641108374,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:11:48.367Z""}}"
1525641272879,"{""status"":{""operating_state"":""Off""}}"
1525641347281,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:15:47.276Z""}}"
1525641350508,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:15:50.504Z""}}"
1525641365946,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:05.938Z""}}"
1525641366057,"{""status"":{""heating_setpoint"":64,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:06.053Z""}}"
1525641366171,"{""status"":{""cooling_setpoint"":73,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:06.165Z""}}"
1525641366284,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:06.278Z""}}"
1525641369398,"{""status"":{""room_temp"":64}}"
1525641375441,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:15.435Z""}}"
1525641375562,"{""status"":{""heating_setpoint"":64,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:15.557Z""}}"
1525641375666,"{""status"":{""cooling_setpoint"":73,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:15.662Z""}}"
1525641375780,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:15.774Z""}}"
1525641378887,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:16:18.882Z""}}"
1525641470205,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:17:50.200Z""}}"
1525641470275,"{""status"":{""heating_setpoint"":55,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:17:50.270Z""}}"
1525641470332,"{""status"":{""cooling_setpoint"":73,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:17:50.327Z""}}"
1525641470390,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:17:50.385Z""}}"
1525641473467,"{""status"":{""heating_setpoint"":55,""source"":""cloud"",""agent_id"":7816,""hold_until"":""2018-05-07T01:17:53.460Z""}}"
1525641665570,"{""status"":{""room_temp"":63}}"
1525641965986,"{""status"":{""room_temp"":62}}"
1525642712908,"{""status"":{""room_temp"":61}}"
1525644291344,"{""status"":{""room_temp"":61}}"
1525644291453,"{""status"":{""operating_state"":""Off""}}"
1525645156291,"{""status"":{""room_temp"":60}}"
1525647893461,"{""status"":{""room_temp"":60}}"
1525647893719,"{""status"":{""operating_state"":""Off""}}"
1525651495767,"{""status"":{""room_temp"":60}}"
1525651495878,"{""status"":{""operating_state"":""Off""}}"
1525655097860,"{""status"":{""room_temp"":60}}"
1525655098122,"{""status"":{""operating_state"":""Off""}}"
1525658700085,"{""status"":{""room_temp"":60}}"
1525658700174,"{""status"":{""operating_state"":""Off""}}"
1525662002275,"{""status"":{""room_temp"":61}}"
1525662002377,"{""status"":{""operating_state"":""Off""}}"
1525665604080,"{""status"":{""room_temp"":61}}"
1525665604184,"{""status"":{""operating_state"":""Off""}}"
1525669206128,"{""status"":{""room_temp"":61}}"
1525669206217,"{""status"":{""operating_state"":""Off""}}"
1525672808286,"{""status"":{""room_temp"":61}}"
1525672808375,"{""status"":{""operating_state"":""Off""}}"
1525676410426,"{""status"":{""room_temp"":61}}"
1525676410516,"{""status"":{""operating_state"":""Off""}}"
1525678023999,"{""status"":{""room_temp"":60}}"
1525680012503,"{""status"":{""room_temp"":60}}"
1525680012612,"{""status"":{""operating_state"":""Off""}}"
1525680012723,"{""status"":{""battery"":100}}"
1525683614986,"{""status"":{""room_temp"":60}}"
1525683615076,"{""status"":{""operating_state"":""Off""}}"
1525687491744,"{""status"":{""room_temp"":60}}"
1525687491821,"{""status"":{""operating_state"":""Off""}}"
1525690383421,"{""status"":{""room_temp"":59}}"
1525691093998,"{""status"":{""room_temp"":59}}"
1525691094255,"{""status"":{""operating_state"":""Off""}}"
1525694696300,"{""status"":{""room_temp"":59}}"
1525694696400,"{""status"":{""operating_state"":""Off""}}"
1525698298746,"{""status"":{""room_temp"":59}}"
1525698298855,"{""status"":{""operating_state"":""Off""}}"
1525701646415,"{""status"":{""room_temp"":58}}"
1525705203194,"{""status"":{""room_temp"":58}}"
1525705203427,"{""status"":{""operating_state"":""Off""}}"
1525708805342,"{""status"":{""room_temp"":58}}"
1525708805426,"{""status"":{""operating_state"":""Off""}}"
1525712407244,"{""status"":{""room_temp"":58}}"
1525712407352,"{""status"":{""operating_state"":""Off""}}"
1525716009539,"{""status"":{""room_temp"":58}}"
1525716009629,"{""status"":{""operating_state"":""Off""}}"
1525719611499,"{""status"":{""room_temp"":58}}"
1525719611585,"{""status"":{""operating_state"":""Off""}}"
1525723213678,"{""status"":{""room_temp"":58}}"
1525723213786,"{""status"":{""operating_state"":""Off""}}"
1525726815879,"{""status"":{""room_temp"":58}}"
1525726815968,"{""status"":{""operating_state"":""Off""}}"
1525727112924,"{""status"":{""battery"":100}}"
1525730694090,"{""status"":{""room_temp"":58}}"
1525730694178,"{""status"":{""operating_state"":""Off""}}"
1525732741898,"{""status"":{""room_temp"":59}}"
1525734296434,"{""status"":{""room_temp"":59}}"
1525734296541,"{""status"":{""operating_state"":""Off""}}"
1525737898652,"{""status"":{""room_temp"":59}}"
1525737898755,"{""status"":{""operating_state"":""Off""}}"
1525741500766,"{""status"":{""room_temp"":59}}"
1525741500859,"{""status"":{""operating_state"":""Off""}}"
1525743372046,"{""status"":{""room_temp"":60}}"
1525744802784,"{""status"":{""room_temp"":60}}"
1525744802891,"{""status"":{""operating_state"":""Off""}}"
1525748405194,"{""status"":{""room_temp"":60}}"
1525748405285,"{""status"":{""operating_state"":""Off""}}"
1525752007468,"{""status"":{""room_temp"":60}}"
1525752007577,"{""status"":{""operating_state"":""Off""}}"
1525755609560,"{""status"":{""room_temp"":60}}"
1525755609651,"{""status"":{""operating_state"":""Off""}}"
1525759212028,"{""status"":{""room_temp"":60}}"
1525759212118,"{""status"":{""operating_state"":""Off""}}"
1525762814013,"{""status"":{""room_temp"":60}}"
1525762814098,"{""status"":{""operating_state"":""Off""}}"
1525766416709,"{""status"":{""room_temp"":60}}"
1525766416818,"{""status"":{""operating_state"":""Off""}}"
1525768680438,"{""status"":{""room_temp"":59}}"
1525770018775,"{""status"":{""room_temp"":59}}"
1525770018886,"{""status"":{""operating_state"":""Off""}}"
1525773675587,"{""status"":{""room_temp"":59}}"
1525773675677,"{""status"":{""operating_state"":""Off""}}"
1525777277798,"{""status"":{""room_temp"":59}}"
1525777277894,"{""status"":{""operating_state"":""Off""}}"
1525779299868,"{""status"":{""room_temp"":58}}"
1525780879960,"{""status"":{""room_temp"":58}}"
1525780880074,"{""status"":{""operating_state"":""Off""}}"
1525784481970,"{""status"":{""room_temp"":58}}"
1525784482079,"{""status"":{""operating_state"":""Off""}}"
1525788083975,"{""status"":{""room_temp"":58}}"
1525788084062,"{""status"":{""operating_state"":""Off""}}"
1525791686033,"{""status"":{""room_temp"":58}}"
1525791686123,"{""status"":{""operating_state"":""Off""}}"
1525795288222,"{""status"":{""room_temp"":58}}"
1525795288331,"{""status"":{""operating_state"":""Off""}}"
1525798890415,"{""status"":{""room_temp"":58}}"
1525798890506,"{""status"":{""operating_state"":""Off""}}"
1525802492647,"{""status"":{""room_temp"":58}}"
1525802492710,"{""status"":{""operating_state"":""Off""}}"
1525806095074,"{""status"":{""room_temp"":58}}"
1525806095179,"{""status"":{""operating_state"":""Off""}}"
1525809697206,"{""status"":{""room_temp"":58}}"
1525809697295,"{""status"":{""operating_state"":""Off""}}"
1525811022697,"{""status"":{""room_temp"":59}}"
1525813299402,"{""status"":{""room_temp"":59}}"
1525813299510,"{""status"":{""operating_state"":""Off""}}"
1525813509216,"{""status"":{""battery"":100}}"
1525816558017,"{""status"":{""room_temp"":60}}"
1525816815713,"{""status"":{""room_temp"":60}}"
1525816815817,"{""status"":{""operating_state"":""Off""}}"
1525820418401,"{""status"":{""room_temp"":60}}"
1525820418495,"{""status"":{""operating_state"":""Off""}}"
1525821865093,"{""status"":{""room_temp"":61}}"
1525824020616,"{""status"":{""room_temp"":61}}"
1525824020725,"{""status"":{""operating_state"":""Off""}}"
1525827401089,"{""status"":{""room_temp"":62}}"
1525827622664,"{""status"":{""room_temp"":62}}"
1525827622753,"{""status"":{""operating_state"":""Off""}}"
1525831224977,"{""status"":{""room_temp"":62}}"
1525831225067,"{""status"":{""operating_state"":""Off""}}"
1525834827036,"{""status"":{""room_temp"":62}}"
1525834827138,"{""status"":{""operating_state"":""Off""}}"
1525838429104,"{""status"":{""room_temp"":62}}"
1525838429213,"{""status"":{""operating_state"":""Off""}}"
1525842031225,"{""status"":{""room_temp"":62}}"
1525842031528,"{""status"":{""operating_state"":""Off""}}"
1525845633309,"{""status"":{""room_temp"":62}}"
1525845633399,"{""status"":{""operating_state"":""Off""}}"
1525849235220,"{""status"":{""room_temp"":62}}"
1525849235331,"{""status"":{""operating_state"":""Off""}}"
1525852837730,"{""status"":{""room_temp"":62}}"
1525852837832,"{""status"":{""operating_state"":""Off""}}"
1525856439780,"{""status"":{""room_temp"":62}}"
1525856439868,"{""status"":{""operating_state"":""Off""}}"
