created_date_time,content
1517676615691,"{""status"":{""room_temp"":54}}"
1517676829178,"{""status"":{""room_temp"":54}}"
1517677207945,"{""status"":{""room_temp"":55}}"
1517677288137,"{""status"":{""room_temp"":54}}"
1517677288210,"{""status"":{""operating_state"":""Heating""}}"
1517677288267,"{""status"":{""room_temp"":55}}"
1517677288372,"{""status"":{""operating_state"":""Off""}}"
1517677380293,"{""status"":{""room_temp"":54}}"
1517677790416,"{""status"":{""room_temp"":55}}"
1517679396032,"{""status"":{""room_temp"":55}}"
1517680370279,"{""status"":{""room_temp"":54}}"
1517680627037,"{""status"":{""room_temp"":54}}"
1517680890966,"{""status"":{""room_temp"":54}}"
1517680891038,"{""status"":{""operating_state"":""Heating""}}"
1517680891214,"{""status"":{""room_temp"":54}}"
1517680891261,"{""status"":{""operating_state"":""Heating""}}"
1517680891379,"{""status"":{""room_temp"":55}}"
1517680891421,"{""status"":{""operating_state"":""Off""}}"
1517681052312,"{""status"":{""room_temp"":55}}"
1517682116998,"{""status"":{""room_temp"":55}}"
1517682804829,"{""status"":{""room_temp"":54}}"
1517683167506,"{""status"":{""room_temp"":54}}"
1517683214913,"{""status"":{""room_temp"":55}}"
1517684493545,"{""status"":{""room_temp"":55}}"
1517684493600,"{""status"":{""operating_state"":""Off""}}"
1517684493654,"{""status"":{""room_temp"":54}}"
1517684493706,"{""status"":{""operating_state"":""Heating""}}"
1517684493786,"{""status"":{""room_temp"":55}}"
1517684493862,"{""status"":{""operating_state"":""Off""}}"
1517684584059,"{""status"":{""room_temp"":54}}"
1517684671276,"{""status"":{""room_temp"":55}}"
1517684842299,"{""status"":{""room_temp"":55}}"
1517685888670,"{""status"":{""room_temp"":54}}"
1517686089860,"{""status"":{""room_temp"":54}}"
1517686378450,"{""status"":{""room_temp"":55}}"
1517686684375,"{""status"":{""room_temp"":54}}"
1517686708864,"{""status"":{""room_temp"":53}}"
1517686912208,"{""status"":{""room_temp"":55}}"
1517687255685,"{""status"":{""room_temp"":54}}"
1517687374427,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:49:34.421Z""}}"
1517687374493,"{""status"":{""heating_setpoint"":58,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:49:34.485Z""}}"
1517687377491,"{""status"":{""heating_setpoint"":58,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:49:37.483Z""}}"
1517687454090,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:50:54.081Z""}}"
1517687454222,"{""status"":{""heating_setpoint"":55,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:50:54.213Z""}}"
1517687457213,"{""status"":{""heating_setpoint"":55,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:50:57.209Z""}}"
1517687562701,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:52:42.695Z""}}"
1517687562777,"{""status"":{""heating_setpoint"":58,""source"":""cloud"",""agent_id"":720,""hold_until"":""2018-02-03T23:52:42.771Z""}}"
