created_date_time,content
1506370769014,"{""status"":{""mode"":""cool"",""source"":""physical""}}"
1506370770765,"{""status"":{""heating_setpoint"":66,""source"":""physical""}}"
1506370771028,"{""status"":{""cooling_setpoint"":69,""source"":""physical""}}"
1506370771940,"{""status"":{""room_temp"":75}}"
1506370773048,"{""status"":{""operating_state"":""Cooling""}}"
1506373203894,"{""status"":{""room_temp"":75}}"
1506373204604,"{""status"":{""operating_state"":""Cooling""}}"
1506376809426,"{""status"":{""room_temp"":75}}"
1506376810490,"{""status"":{""operating_state"":""Cooling""}}"
1506380416016,"{""status"":{""room_temp"":75}}"
1506380416806,"{""status"":{""operating_state"":""Cooling""}}"
1506382607798,"{""status"":{""mode"":""off"",""source"":""cloud"",""agent_id"":852}}"
1506382608360,"{""status"":{""hold_until"":""2017-09-26T03:36:47.116Z""}}"
1506383615357,"{""status"":{""room_temp"":76}}"
1506384028022,"{""status"":{""room_temp"":76}}"
1506384029179,"{""status"":{""operating_state"":""Off""}}"
1506387627552,"{""status"":{""room_temp"":76}}"
1506387628578,"{""status"":{""operating_state"":""Off""}}"
1506391233687,"{""status"":{""room_temp"":76}}"
1506391235494,"{""status"":{""operating_state"":""Off""}}"
1506394839633,"{""status"":{""room_temp"":76}}"
1506394840597,"{""status"":{""operating_state"":""Off""}}"
1506398446186,"{""status"":{""room_temp"":76}}"
1506398447159,"{""status"":{""operating_state"":""Off""}}"
1506400769933,"{""status"":{""room_temp"":75}}"
1506402052212,"{""status"":{""room_temp"":75}}"
1506402052691,"{""status"":{""operating_state"":""Off""}}"
1506405659041,"{""status"":{""room_temp"":75}}"
1506405660050,"{""status"":{""operating_state"":""Off""}}"
1506408566268,"{""status"":{""room_temp"":74}}"
1506409264732,"{""status"":{""room_temp"":74}}"
1506409265853,"{""status"":{""operating_state"":""Off""}}"
1506412871082,"{""status"":{""room_temp"":74}}"
1506412872133,"{""status"":{""operating_state"":""Off""}}"
1506416302273,"{""status"":{""room_temp"":73}}"
1506416476612,"{""status"":{""room_temp"":73}}"
1506416477557,"{""status"":{""operating_state"":""Off""}}"
1506420082952,"{""status"":{""room_temp"":73}}"
1506420083900,"{""status"":{""operating_state"":""Off""}}"
1506423688681,"{""status"":{""room_temp"":73}}"
1506423689724,"{""status"":{""operating_state"":""Off""}}"
1506424173825,"{""status"":{""room_temp"":72}}"
