created_date_time,content
1538597311574,"{""status"":{""room_temp"":74}}"
1538599034071,"{""status"":{""room_temp"":73}}"
1538599080356,"{""status"":{""room_temp"":73}}"
1538599080516,"{""status"":{""mode"":""auto"",""source"":""physical"",""hold_until"":""2018-10-04T00:38:00.511Z""}}"
1538599080570,"{""status"":{""heating_setpoint"":63,""source"":""physical"",""hold_until"":""2018-10-04T00:38:00.564Z""}}"
1538599080640,"{""status"":{""cooling_setpoint"":73,""source"":""physical"",""hold_until"":""2018-10-04T00:38:00.632Z""}}"
1538599080695,"{""status"":{""room_temp"":74}}"
1538599080766,"{""status"":{""operating_state"":""Cooling""}}"
1538599128439,"{""status"":{""room_temp"":72}}"
1538599129525,"{""status"":{""operating_state"":""Pending_Cool""}}"
1538599428397,"{""status"":{""operating_state"":""Off""}}"
1538599964852,"{""status"":{""room_temp"":73}}"
1538599965886,"{""status"":{""operating_state"":""Cooling""}}"
1538600487902,"{""status"":{""room_temp"":73}}"
1538600487955,"{""status"":{""operating_state"":""Cooling""}}"
1538600488013,"{""status"":{""room_temp"":74}}"
1538600488062,"{""status"":{""operating_state"":""Cooling""}}"
1538600562559,"{""status"":{""room_temp"":73}}"
1538600563739,"{""status"":{""operating_state"":""Pending_Cool""}}"
1538600677705,"{""status"":{""room_temp"":72}}"
1538600678898,"{""status"":{""operating_state"":""Pending_Cool""}}"
1538600862530,"{""status"":{""operating_state"":""Off""}}"
1538600977700,"{""status"":{""operating_state"":""Off""}}"
1538601423312,"{""status"":{""room_temp"":73}}"
1538601424332,"{""status"":{""operating_state"":""Cooling""}}"
1538602181693,"{""status"":{""room_temp"":72}}"
1538602182870,"{""status"":{""operating_state"":""Pending_Cool""}}"
1538602481648,"{""status"":{""operating_state"":""Off""}}"
1538602805947,"{""status"":{""room_temp"":73}}"
1538602806967,"{""status"":{""operating_state"":""Cooling""}}"
1538603549182,"{""status"":{""room_temp"":72}}"
1538603550268,"{""status"":{""operating_state"":""Pending_Cool""}}"
1538603849126,"{""status"":{""operating_state"":""Off""}}"
1538604090511,"{""status"":{""room_temp"":72}}"
1538604090565,"{""status"":{""operating_state"":""Off""}}"
1538604090623,"{""status"":{""room_temp"":73}}"
1538604090670,"{""status"":{""operating_state"":""Off""}}"
1538604218905,"{""status"":{""room_temp"":73}}"
1538604219921,"{""status"":{""operating_state"":""Cooling""}}"
1538604341524,"{""status"":{""room_temp"":74}}"
1538604342538,"{""status"":{""operating_state"":""Cooling""}}"
1538604946917,"{""status"":{""room_temp"":72}}"
1538604948132,"{""status"":{""operating_state"":""Pending_Cool""}}"
1538605246895,"{""status"":{""operating_state"":""Off""}}"
1538606283598,"{""status"":{""cooling_setpoint"":76,""source"":""physical"",""hold_until"":""2018-10-04T02:38:03.593Z""}}"
1538606601366,"{""status"":{""room_temp"":73}}"
1538606602447,"{""status"":{""operating_state"":""Pending_Cool""}}"
1538606693547,"{""status"":{""room_temp"":73}}"
1538606901373,"{""status"":{""operating_state"":""Off""}}"
1538607692961,"{""status"":{""room_temp"":73}}"
