created_date_time,content
1549043224303,"{""status"":{""zwave_signal"":null}}"
1549043224347,"{""status"":{""battery"":100}}"
1549043225339,"{""status"":{""room_temp"":63}}"
1549043268190,"{""status"":{""heating_setpoint"":66,""source"":""physical"",""hold_until"":""2019-02-01T21:47:48.173Z""}}"
1549043283983,"{""status"":{""mode"":""heat"",""source"":""physical"",""hold_until"":""2019-02-01T21:48:03.972Z""}}"
1549043354220,"{""status"":{""operating_state"":""Heating""}}"
1549043508317,"{""status"":{""deviceDownTS"":null}}"
1549044229670,"{""status"":{""room_temp"":63}}"
1549044229796,"{""status"":{""operating_state"":""Heating""}}"
1549046146633,"{""status"":{""fan"":""auto"",""source"":""cloud"",""agent_id"":7597,""hold_until"":""2019-02-01T22:35:46.619Z""}}"
1549047222504,"{""status"":{""mode"":""heat"",""source"":""cloud"",""agent_id"":7597,""hold_until"":""2019-02-01T22:53:42.490Z""}}"
1549047222572,"{""status"":{""heating_setpoint"":69,""source"":""cloud"",""agent_id"":7597,""hold_until"":""2019-02-01T22:53:42.562Z""}}"
1549048077614,"{""status"":{""room_temp"":63}}"
1549048077722,"{""status"":{""operating_state"":""Heating""}}"
1549049121293,"{""status"":{""operating_state"":""Heating""}}"
1549049714240,"{""status"":{""room_temp"":64}}"
1549051137686,"{""status"":{""room_temp"":65}}"
1549051283011,"{""status"":{""room_temp"":65}}"
1549051283121,"{""status"":{""operating_state"":""Heating""}}"
1549052386913,"{""status"":{""room_temp"":66}}"
1549054378662,"{""status"":{""room_temp"":67}}"
1549054885349,"{""status"":{""room_temp"":67}}"
1549054885460,"{""status"":{""operating_state"":""Heating""}}"
1549055506628,"{""status"":{""room_temp"":68}}"
1549056870639,"{""status"":{""room_temp"":69}}"
1549056871718,"{""status"":{""operating_state"":""Pending_Heat""}}"
1549057186650,"{""status"":{""operating_state"":""Off""}}"
1549058487618,"{""status"":{""room_temp"":69}}"
1549058487728,"{""status"":{""operating_state"":""Off""}}"
1549058566821,"{""status"":{""room_temp"":70}}"
1549060530423,"{""status"":{""room_temp"":71}}"
1549062090380,"{""status"":{""room_temp"":71}}"
1549062090490,"{""status"":{""operating_state"":""Off""}}"
1549063993854,"{""status"":{""room_temp"":70}}"
1549065692350,"{""status"":{""room_temp"":70}}"
1549065692457,"{""status"":{""operating_state"":""Off""}}"
1549067069920,"{""status"":{""room_temp"":69}}"
1549069294975,"{""status"":{""room_temp"":69}}"
1549069295083,"{""status"":{""operating_state"":""Off""}}"
1549069573693,"{""status"":{""room_temp"":68}}"
1549069574811,"{""status"":{""operating_state"":""Heating""}}"
1549072006476,"{""status"":{""room_temp"":67}}"
1549072896976,"{""status"":{""room_temp"":67}}"
1549072897032,"{""status"":{""operating_state"":""Heating""}}"
1549076499131,"{""status"":{""room_temp"":67}}"
1549076499231,"{""status"":{""operating_state"":""Heating""}}"
1549076637059,"{""status"":{""room_temp"":66}}"
1549080101129,"{""status"":{""room_temp"":66}}"
1549080101234,"{""status"":{""operating_state"":""Heating""}}"
1549081976866,"{""status"":{""room_temp"":65}}"
1549083703486,"{""status"":{""room_temp"":65}}"
1549083703597,"{""status"":{""operating_state"":""Heating""}}"
1549086896802,"{""status"":{""room_temp"":64}}"
1549087305767,"{""status"":{""room_temp"":64}}"
1549087305885,"{""status"":{""operating_state"":""Heating""}}"
1549090907786,"{""status"":{""room_temp"":64}}"
1549090908077,"{""status"":{""operating_state"":""Heating""}}"
1549091745770,"{""status"":{""room_temp"":63}}"
1549094430551,"{""status"":{""battery"":100}}"
1549094511303,"{""status"":{""room_temp"":63}}"
1549094511413,"{""status"":{""operating_state"":""Heating""}}"
1549096709404,"{""status"":{""room_temp"":62}}"
1549098200250,"{""status"":{""room_temp"":62}}"
1549098200361,"{""status"":{""operating_state"":""Heating""}}"
1549101802420,"{""status"":{""room_temp"":62}}"
1549101802533,"{""status"":{""operating_state"":""Heating""}}"
1549103865687,"{""status"":{""room_temp"":61}}"
1549105419417,"{""status"":{""room_temp"":61}}"
1549105419528,"{""status"":{""operating_state"":""Heating""}}"
1549109021737,"{""status"":{""room_temp"":61}}"
1549109021845,"{""status"":{""operating_state"":""Heating""}}"
1549111676147,"{""status"":{""room_temp"":60}}"
1549112624217,"{""status"":{""room_temp"":60}}"
1549112624315,"{""status"":{""operating_state"":""Heating""}}"
1549116226819,"{""status"":{""room_temp"":60}}"
1549116226920,"{""status"":{""operating_state"":""Heating""}}"
1549119829813,"{""status"":{""room_temp"":60}}"
1549119829921,"{""status"":{""operating_state"":""Heating""}}"
1549123432183,"{""status"":{""room_temp"":60}}"
1549123432452,"{""status"":{""operating_state"":""Heating""}}"
1549125988517,"{""status"":{""room_temp"":61}}"
1549127034739,"{""status"":{""room_temp"":61}}"
1549127034848,"{""status"":{""operating_state"":""Heating""}}"
1549127335743,"{""status"":{""room_temp"":62}}"
1549128508783,"{""status"":{""room_temp"":63}}"
1549129572318,"{""status"":{""room_temp"":64}}"
1549129615881,"{""status"":{""battery"":100}}"
1549130637022,"{""status"":{""room_temp"":64}}"
1549130637133,"{""status"":{""operating_state"":""Heating""}}"
1549130864815,"{""status"":{""room_temp"":65}}"
1549132315650,"{""status"":{""room_temp"":66}}"
1549134239378,"{""status"":{""room_temp"":66}}"
1549134239487,"{""status"":{""operating_state"":""Heating""}}"
1549134688615,"{""status"":{""room_temp"":67}}"
1549136505640,"{""status"":{""room_temp"":68}}"
1549137841867,"{""status"":{""room_temp"":68}}"
1549137841976,"{""status"":{""operating_state"":""Heating""}}"
1549138288229,"{""status"":{""room_temp"":69}}"
1549138289327,"{""status"":{""operating_state"":""Pending_Heat""}}"
1549138588408,"{""status"":{""operating_state"":""Off""}}"
