created_date_time,content
1521311228625,"{""status"":{""zwave_signal"":null}}"
1521311228665,"{""status"":{""room_temp"":53}}"
1521311248558,"{""status"":{""deviceDownTS"":null}}"
1521313351387,"{""status"":{""room_temp"":53}}"
1521313351490,"{""status"":{""operating_state"":""Off""}}"
1521315191863,"{""status"":{""zwave_signal"":null}}"
1521315191879,"{""status"":{""room_temp"":44}}"
1521315451447,"{""status"":{""deviceDownTS"":null}}"
1521316969400,"{""status"":{""room_temp"":53}}"
1521316969455,"{""status"":{""operating_state"":""Off""}}"
1521317259729,"{""status"":{""zwave_signal"":0}}"
1521320556369,"{""status"":{""room_temp"":53}}"
1521320556459,"{""status"":{""operating_state"":""Off""}}"
1521321684950,"{""status"":{""room_temp"":52}}"
1521324158696,"{""status"":{""room_temp"":52}}"
1521324158806,"{""status"":{""operating_state"":""Off""}}"
1521327760795,"{""status"":{""room_temp"":52}}"
1521327760915,"{""status"":{""operating_state"":""Off""}}"
1521331362899,"{""status"":{""room_temp"":52}}"
1521331363007,"{""status"":{""operating_state"":""Off""}}"
1521332501031,"{""status"":{""room_temp"":51}}"
1521333120745,"{""status"":{""zwave_signal"":null}}"
1521333120769,"{""status"":{""room_temp"":43}}"
1521333162765,"{""status"":{""deviceDownTS"":null}}"
1521334979146,"{""status"":{""room_temp"":51}}"
1521334979202,"{""status"":{""operating_state"":""Off""}}"
1521335271092,"{""status"":{""zwave_signal"":0}}"
1521337066310,"{""status"":{""zwave_signal"":null}}"
1521337066395,"{""status"":{""battery"":100}}"
1521337066416,"{""status"":{""battery"":100}}"
1521337066439,"{""status"":{""battery"":100}}"
1521337066462,"{""status"":{""battery"":100}}"
1521337066501,"{""status"":{""battery"":100}}"
1521337066531,"{""status"":{""battery"":100}}"
1521337066565,"{""status"":{""battery"":100}}"
1521337365331,"{""status"":{""deviceDownTS"":null}}"
1521337372442,"{""status"":{""operating_state"":""Off""}}"
1521337671515,"{""status"":{""room_temp"":43}}"
1521338566308,"{""status"":{""room_temp"":43}}"
1521338569454,"{""status"":{""operating_state"":""Off""}}"
1521338570826,"{""status"":{""room_temp"":51}}"
1521338570939,"{""status"":{""operating_state"":""Off""}}"
1521342178760,"{""status"":{""operating_state"":""Off""}}"
1521342180085,"{""status"":{""room_temp"":51}}"
1521342180144,"{""status"":{""operating_state"":""Off""}}"
1521342772429,"{""status"":{""zwave_signal"":0}}"
1521344573533,"{""status"":{""zwave_signal"":null}}"
1521344573551,"{""status"":{""battery"":100}}"
1521344573607,"{""status"":{""battery"":100}}"
1521344573685,"{""status"":{""battery"":100}}"
1521344573708,"{""status"":{""battery"":100}}"
1521344870273,"{""status"":{""deviceDownTS"":null}}"
1521344872763,"{""status"":{""room_temp"":43}}"
1521344875178,"{""status"":{""operating_state"":""Off""}}"
1521345773459,"{""status"":{""room_temp"":43}}"
1521345774771,"{""status"":{""operating_state"":""Off""}}"
1521345776044,"{""status"":{""room_temp"":50}}"
1521345776156,"{""status"":{""operating_state"":""Off""}}"
1521348195479,"{""status"":{""room_temp"":42}}"
1521349385025,"{""status"":{""operating_state"":""Off""}}"
1521349389338,"{""status"":{""room_temp"":50}}"
1521349389395,"{""status"":{""operating_state"":""Off""}}"
1521349977133,"{""status"":{""zwave_signal"":0}}"
1521349978284,"{""status"":{""zwave_signal"":null}}"
1521349978326,"{""status"":{""operating_state"":""Off""}}"
1521350281120,"{""status"":{""operating_state"":""Off""}}"
1521350581330,"{""status"":{""operating_state"":""Off""}}"
1521350874347,"{""status"":{""room_temp"":42}}"
1521350877431,"{""status"":{""operating_state"":""Off""}}"
1521352989584,"{""status"":{""operating_state"":""Off""}}"
1521352993978,"{""status"":{""room_temp"":50}}"
1521352994087,"{""status"":{""operating_state"":""Off""}}"
1521353402024,"{""status"":{""zwave_signal"":0}}"
1521354280960,"{""status"":{""room_temp"":49}}"
1521356434477,"{""status"":{""battery"":100}}"
1521356492365,"{""status"":{""room_temp"":49}}"
1521356492478,"{""status"":{""operating_state"":""Off""}}"
1521360093822,"{""status"":{""room_temp"":49}}"
1521360093932,"{""status"":{""operating_state"":""Off""}}"
1521363034363,"{""status"":{""zwave_signal"":null}}"
1521363034383,"{""status"":{""room_temp"":41}}"
1521363094018,"{""status"":{""deviceDownTS"":null}}"
1521363709858,"{""status"":{""room_temp"":49}}"
1521363709914,"{""status"":{""operating_state"":""Off""}}"
1521363998157,"{""status"":{""zwave_signal"":0}}"
1521364298347,"{""status"":{""zwave_signal"":null}}"
1521364298430,"{""status"":{""battery"":100}}"
1521364298451,"{""status"":{""battery"":100}}"
1521364298476,"{""status"":{""battery"":100}}"
1521364298583,"{""status"":{""battery"":100}}"
1521364595048,"{""status"":{""deviceDownTS"":null}}"
1521364595163,"{""status"":{""room_temp"":41}}"
1521364601015,"{""status"":{""operating_state"":""Off""}}"
1521367302651,"{""status"":{""room_temp"":41}}"
1521367307347,"{""status"":{""operating_state"":""Off""}}"
1521367308672,"{""status"":{""room_temp"":49}}"
1521367308738,"{""status"":{""operating_state"":""Off""}}"
1521368723811,"{""status"":{""room_temp"":48}}"
1521370914252,"{""status"":{""room_temp"":48}}"
1521370914307,"{""status"":{""operating_state"":""Off""}}"
1521371202677,"{""status"":{""zwave_signal"":0}}"
1521371800892,"{""status"":{""zwave_signal"":null}}"
1521371800915,"{""status"":{""battery"":100}}"
1521371801008,"{""status"":{""battery"":100}}"
1521371801029,"{""status"":{""battery"":100}}"
1521371801133,"{""status"":{""battery"":100}}"
1521371801155,"{""status"":{""battery"":100}}"
1521371801186,"{""status"":{""battery"":100}}"
1521372099913,"{""status"":{""deviceDownTS"":null}}"
1521372403602,"{""status"":{""zwave_signal"":0}}"
1521372701459,"{""status"":{""zwave_signal"":null}}"
1521372701473,"{""status"":{""battery"":100}}"
1521372701581,"{""status"":{""battery"":100}}"
1521372701605,"{""status"":{""battery"":100}}"
1521372701700,"{""status"":{""battery"":100}}"
1521372701722,"{""status"":{""battery"":100}}"
1521372701791,"{""status"":{""battery"":100}}"
1521372701845,"{""status"":{""battery"":100}}"
1521373000506,"{""status"":{""deviceDownTS"":null}}"
1521373001832,"{""status"":{""room_temp"":41}}"
1521374511929,"{""status"":{""zwave_signal"":0}}"
1521374513248,"{""status"":{""room_temp"":48}}"
